"","AFC Bournemouth","Arsenal","Brighton & Hove Albion","Burnley","Chelsea","Crystal Palace","Everton","Huddersfield Town","Leicester City","Liverpool","Manchester City","Manchester United","Newcastle United","Southampton","Stoke City","Swansea City","Tottenham Hotspur","Watford","West Bromwich Albion","West Ham United"
"AFC Bournemouth","",="2-1",="2-1",="1-2",="0-1",="2-2",="2-1",="4-0",="0-0",="0-4",="1-2",="0-2",="2-2",="1-1",="2-1",="1-0",="1-4",="0-2",="2-1",="3-3"
"Arsenal",="3-0","",="2-0",="5-0",="2-2",="4-1",="5-1",="5-0",="4-3",="3-3",="0-3",="1-3",="1-0",="3-2",="3-0",="2-1",="2-0",="3-0",="2-0",="4-1"
"Brighton & Hove Albion",="2-2",="2-1","",="0-0",="0-4",="0-0",="1-1",="1-1",="0-2",="1-5",="0-2",="1-0",="1-0",="1-1",="2-2",="4-1",="1-1",="1-0",="3-1",="3-1"
"Burnley",="1-2",="0-1",="0-0","",="1-2",="1-0",="2-1",="0-0",="2-1",="1-2",="1-1",="0-1",="1-0",="1-1",="1-0",="2-0",="0-3",="1-0",="0-1",="1-1"
"Chelsea",="0-3",="0-0",="2-0",="2-3","",="2-1",="2-0",="1-1",="0-0",="1-0",="0-1",="1-0",="3-1",="1-0",="5-0",="1-0",="1-3",="4-2",="3-0",="1-1"
"Crystal Palace",="2-2",="2-3",="3-2",="1-0",="2-1","",="2-2",="0-3",="5-0",="1-2",="0-0",="2-3",="1-1",="0-1",="2-1",="0-2",="0-1",="2-1",="2-0",="2-2"
"Everton",="2-1",="2-5",="2-0",="0-1",="0-0",="3-1","",="2-0",="2-1",="0-0",="1-3",="0-2",="1-0",="1-1",="1-0",="3-1",="0-3",="3-2",="1-1",="4-0"
"Huddersfield Town",="4-1",="0-1",="2-0",="0-0",="1-3",="0-2",="0-2","",="1-1",="0-3",="1-2",="2-1",="1-0",="0-0",="1-1",="0-0",="0-4",="1-0",="1-0",="1-4"
"Leicester City",="1-1",="3-1",="2-0",="1-0",="1-2",="0-3",="2-0",="3-0","",="2-3",="0-2",="2-2",="1-2",="0-0",="1-1",="1-1",="2-1",="2-0",="1-1",="0-2"
"Liverpool",="3-0",="4-0",="4-0",="1-1",="1-1",="1-0",="1-1",="3-0",="2-1","",="4-3",="0-0",="2-0",="3-0",="0-0",="5-0",="2-2",="5-0",="0-0",="4-1"
"Manchester City",="4-0",="3-1",="3-1",="3-0",="1-0",="5-0",="1-1",="0-0",="5-1",="5-0","",="2-3",="3-1",="2-1",="7-2",="5-0",="4-1",="3-1",="3-0",="2-1"
"Manchester United",="1-0",="2-1",="1-0",="2-2",="2-1",="4-0",="4-0",="2-0",="2-0",="2-1",="1-2","",="4-1",="0-0",="3-0",="2-0",="1-0",="1-0",="0-1",="4-0"
"Newcastle United",="0-1",="2-1",="0-0",="1-1",="3-0",="1-0",="0-1",="1-0",="2-3",="1-1",="0-1",="1-0","",="3-0",="2-1",="1-1",="0-2",="0-3",="0-1",="3-0"
"Southampton",="2-1",="1-1",="1-1",="0-1",="2-3",="1-2",="4-1",="1-1",="1-4",="0-2",="0-1",="0-1",="2-2","",="0-0",="0-0",="1-1",="0-2",="1-0",="3-2"
"Stoke City",="1-2",="1-0",="1-1",="1-1",="0-4",="1-2",="1-2",="2-0",="2-2",="0-3",="0-2",="2-2",="0-1",="2-1","",="2-1",="1-2",="0-0",="3-1",="0-3"
"Swansea City",="0-0",="3-1",="0-1",="1-0",="0-1",="1-1",="1-1",="2-0",="1-2",="1-0",="0-4",="0-4",="0-1",="0-1",="1-2","",="0-2",="1-2",="1-0",="4-1"
"Tottenham Hotspur",="1-0",="1-0",="2-0",="1-1",="1-2",="1-0",="4-0",="2-0",="5-4",="4-1",="1-3",="2-0",="1-0",="5-2",="5-1",="0-0","",="2-0",="1-1",="1-1"
"Watford",="2-2",="2-1",="0-0",="1-2",="4-1",="0-0",="1-0",="1-4",="2-1",="3-3",="0-6",="2-4",="2-1",="2-2",="0-1",="1-2",="1-1","",="1-0",="2-0"
"West Bromwich Albion",="1-0",="1-1",="2-0",="1-2",="0-4",="0-0",="0-0",="1-2",="1-4",="2-2",="2-3",="1-2",="2-2",="2-3",="1-1",="1-1",="1-0",="2-2","",="0-0"
"West Ham United",="1-1",="0-0",="0-3",="0-3",="1-0",="1-1",="3-1",="2-0",="1-1",="1-4",="1-4",="0-0",="2-3",="3-0",="1-1",="1-0",="2-3",="2-0",="2-1",""
